origin,Destination,Chargeable Wt,Mode,Nature of Consignment,Historical_Delivery_Days
Nagpur,Jamshedpur,1.9,Express,Dox,1
Jaipur,Vizag,6.12,Surface,Dox,5
Lucknow,Bhubaneswar,9.71,Surface,Non-Dox,5
Coimbatore,Mumbai,14.44,Express,Non-Dox,2
Meerut,Vijayawada,6.72,Surface,Dox,5
Delhi,Nagpur,9.24,Surface,Non-Dox,5
Ahmedabad,Bhubaneswar,6.58,Air Cargo,Dox,5
Chennai,Vijayawada,8.37,Express,Non-Dox,2
Delhi,Jamshedpur,7.36,Surface,Non-Dox,5
Dehradun,Nashik,10.82,Express,Non-Dox,2
Bhubaneswar,Shimla,7.95,Express,Dox,2
Chandigarh,Bangalore,8.52,Surface,Dox,5
Vizag,Pune,12.55,Air Cargo,Non-Dox,5
Vijayawada,Indore,7.47,Surface,Non-Dox,5
Meerut,Dehradun,6.44,Air Cargo,Dox,5
Nashik,Hyderabad,5.2,Air Cargo,Non-Dox,5
Srinagar,Kolkata,13.44,Surface,Non-Dox,5
Hyderabad,Ludhiana,4.98,Surface,Dox,3
Hyderabad,Agra,14.5,Surface,Non-Dox,5
Ahmedabad,Jaipur,10.09,Surface,Non-Dox,5
Kolkata,Pune,4.12,Express,Dox,2
Amritsar,Nagpur,2.73,Air Cargo,Dox,3
Surat,Vijayawada,2.86,Express,Non-Dox,2
Ranchi,Mumbai,2.68,Surface,Non-Dox,3
Ranchi,Varanasi,5.46,Surface,Non-Dox,5
Ludhiana,Kolkata,2.01,Surface,Non-Dox,3
Surat,Srinagar,0.71,Express,Non-Dox,1
Nagpur,Vijayawada,10.22,Air Cargo,Dox,5
Vijayawada,Jaipur,9.78,Surface,Non-Dox,5
Guwahati,Srinagar,10.91,Express,Dox,2
Jaipur,Pune,6.21,Surface,Dox,5
Bhubaneswar,Mumbai,6.63,Air Cargo,Non-Dox,5
Guwahati,Aurangabad,4.48,Surface,Non-Dox,3
Patna,Srinagar,6.06,Air Cargo,Dox,5
Mumbai,Thiruvananthapuram,5.57,Express,Non-Dox,2
Bhopal,Amritsar,3.1,Express,Non-Dox,2
Vizag,Surat,2.69,Surface,Dox,3
Kochi,Chandigarh,11.98,Express,Dox,2
Raipur,Patna,9.15,Air Cargo,Dox,5
Ludhiana,Dehradun,7.53,Surface,Dox,5
Bhopal,Bhubaneswar,10.26,Air Cargo,Dox,5
Jaipur,Indore,12.17,Air Cargo,Non-Dox,5
Jaipur,Guwahati,2.88,Surface,Non-Dox,3
Dehradun,Raipur,10.56,Surface,Non-Dox,5
Ranchi,Delhi,11.91,Surface,Non-Dox,5
Vizag,Surat,11.69,Surface,Dox,5
Bhopal,Ludhiana,11.55,Surface,Dox,5
Meerut,Agra,11.07,Surface,Dox,5
Hyderabad,Ranchi,7.85,Air Cargo,Dox,5
Nagpur,Surat,3.52,Surface,Non-Dox,3
Indore,Nagpur,11.58,Express,Dox,2
Ludhiana,Bangalore,5.74,Air Cargo,Dox,5
Vijayawada,Nagpur,7.78,Express,Non-Dox,2
Guwahati,Chennai,9.28,Surface,Dox,5
Jaipur,Patna,3.73,Surface,Non-Dox,3
Srinagar,Indore,2.9,Surface,Non-Dox,3
Mumbai,Srinagar,9.22,Express,Non-Dox,2
Vizag,Raipur,3.27,Surface,Dox,3
Vizag,Lucknow,3.61,Surface,Dox,3
Chennai,Hyderabad,6.87,Surface,Non-Dox,5
Shimla,Ranchi,5.89,Surface,Dox,5
Jamshedpur,Guwahati,11.17,Air Cargo,Non-Dox,5
Ludhiana,Nagpur,8.49,Surface,Dox,5
Vizag,Raipur,5.78,Surface,Non-Dox,5
Mumbai,Varanasi,6.57,Surface,Dox,5
Coimbatore,Lucknow,2.31,Surface,Dox,3
Amritsar,Srinagar,1.39,Express,Non-Dox,1
Vijayawada,Aurangabad,0.81,Surface,Dox,3
Mumbai,Nagpur,10.23,Surface,Dox,5
Indore,Srinagar,7.16,Air Cargo,Dox,5
Nagpur,Guwahati,9.58,Surface,Non-Dox,5
Kolkata,Thiruvananthapuram,7.63,Surface,Dox,5
Ludhiana,Srinagar,3.92,Surface,Dox,3
Jamshedpur,Coimbatore,9.15,Air Cargo,Non-Dox,5
Patna,Shimla,3.96,Surface,Non-Dox,3
Meerut,Vizag,9.28,Air Cargo,Dox,5
Kochi,Dehradun,1.52,Surface,Non-Dox,3
Aurangabad,Nashik,4.34,Surface,Non-Dox,3
Chandigarh,Shimla,13.3,Air Cargo,Dox,5
Bangalore,Ludhiana,9.54,Air Cargo,Dox,5
Chennai,Bangalore,8.12,Express,Dox,2
Coimbatore,Bhubaneswar,5.35,Surface,Non-Dox,5
Delhi,Kochi,7.52,Surface,Non-Dox,5
Ranchi,Guwahati,6.43,Express,Non-Dox,2
Kolkata,Delhi,4.48,Surface,Dox,3
Thiruvananthapuram,Meerut,9.09,Express,Non-Dox,2
Jamshedpur,Dehradun,10.23,Express,Dox,2
Varanasi,Indore,8.09,Air Cargo,Non-Dox,5
Delhi,Kochi,10.82,Air Cargo,Dox,5
Raipur,Dehradun,13.05,Air Cargo,Dox,5
Delhi,Vijayawada,10.18,Surface,Non-Dox,5
Ahmedabad,Kolkata,2.03,Surface,Non-Dox,3
Shimla,Kochi,7.11,Surface,Non-Dox,5
Aurangabad,Shimla,6.07,Surface,Non-Dox,5
Ahmedabad,Kochi,10.45,Air Cargo,Dox,5
Patna,Jaipur,11.69,Express,Non-Dox,2
Nagpur,Aurangabad,7.45,Surface,Dox,5
Thiruvananthapuram,Varanasi,6.61,Surface,Non-Dox,5
Thiruvananthapuram,Dehradun,3.66,Surface,Dox,3
Ahmedabad,Bhopal,13.01,Air Cargo,Dox,5
Amritsar,Shimla,11.3,Surface,Dox,5
Nagpur,Thiruvananthapuram,7.19,Express,Dox,2
Kochi,Agra,5.81,Air Cargo,Dox,5
Ahmedabad,Indore,2.34,Surface,Dox,3
Nashik,Raipur,4.86,Surface,Dox,3
Chennai,Varanasi,10.88,Air Cargo,Non-Dox,5
Shimla,Hyderabad,8.74,Air Cargo,Dox,5
Vizag,Amritsar,10.21,Express,Non-Dox,2
Chandigarh,Chennai,5.41,Surface,Dox,5
Mumbai,Nashik,12.56,Surface,Dox,5
Kolkata,Mumbai,8.84,Express,Non-Dox,2
Lucknow,Jaipur,9.86,Surface,Dox,5
Vijayawada,Ranchi,5.1,Surface,Dox,5
Raipur,Nashik,5.56,Surface,Dox,5
Thiruvananthapuram,Ranchi,11.09,Surface,Dox,5
Ranchi,Jamshedpur,8.49,Air Cargo,Dox,5
Surat,Agra,12.48,Express,Non-Dox,2
Vizag,Agra,6.03,Air Cargo,Non-Dox,5
Vijayawada,Patna,5.67,Surface,Dox,5
Bangalore,Guwahati,12.48,Express,Dox,2
Hyderabad,Patna,6.07,Air Cargo,Dox,5
Bhopal,Thiruvananthapuram,8.36,Surface,Dox,5
Vijayawada,Hyderabad,7.54,Surface,Dox,5
Bangalore,Vizag,6.26,Surface,Non-Dox,5
Lucknow,Mumbai,9.25,Surface,Non-Dox,5
Jamshedpur,Ahmedabad,3.87,Surface,Non-Dox,3
Ahmedabad,Kochi,4.8,Surface,Non-Dox,3
Patna,Nagpur,10.28,Surface,Non-Dox,5
Meerut,Chandigarh,3.91,Air Cargo,Non-Dox,3
Guwahati,Jaipur,13.14,Air Cargo,Dox,5
Ranchi,Delhi,12.87,Express,Non-Dox,2
Bhubaneswar,Raipur,3.51,Air Cargo,Non-Dox,3
Kolkata,Guwahati,12.56,Surface,Non-Dox,5
Ludhiana,Vijayawada,13.98,Air Cargo,Dox,5
Lucknow,Srinagar,5.29,Air Cargo,Non-Dox,5
Agra,Chennai,6.38,Surface,Dox,5
Vijayawada,Bhubaneswar,3.84,Surface,Non-Dox,3
Lucknow,Nashik,4.27,Surface,Non-Dox,3
Indore,Jamshedpur,11.48,Surface,Non-Dox,5
Coimbatore,Kolkata,7.09,Surface,Dox,5
Ahmedabad,Pune,11.24,Surface,Non-Dox,5
Lucknow,Dehradun,12.37,Surface,Non-Dox,5
Ranchi,Nashik,6.71,Express,Non-Dox,2
Raipur,Patna,9.41,Surface,Non-Dox,5
Ranchi,Guwahati,3.94,Air Cargo,Dox,3
Kolkata,Vijayawada,4.37,Air Cargo,Non-Dox,3
Vizag,Dehradun,9.41,Express,Dox,2
Nagpur,Chandigarh,7.71,Air Cargo,Dox,5
Patna,Ahmedabad,7.72,Surface,Dox,5
Mumbai,Bangalore,3.43,Air Cargo,Dox,3
Agra,Dehradun,8.41,Surface,Non-Dox,5
Agra,Bhopal,3.34,Express,Dox,2
Agra,Nashik,11.51,Surface,Non-Dox,5
Indore,Thiruvananthapuram,10.38,Surface,Dox,5
Chandigarh,Ranchi,13.75,Air Cargo,Dox,5
Indore,Srinagar,10.71,Air Cargo,Dox,5
Raipur,Vijayawada,3.3,Surface,Non-Dox,3
Chennai,Coimbatore,12.88,Surface,Non-Dox,5
Mumbai,Hyderabad,10.48,Air Cargo,Dox,5
Kolkata,Kochi,2,Express,Dox,1
Ludhiana,Pune,8.96,Surface,Non-Dox,5
Varanasi,Ahmedabad,5.75,Express,Dox,2
Thiruvananthapuram,Chandigarh,14.51,Air Cargo,Non-Dox,5
Coimbatore,Lucknow,9.74,Air Cargo,Non-Dox,5
Meerut,Lucknow,9.85,Surface,Dox,5
Thiruvananthapuram,Surat,14.38,Surface,Dox,5
Mumbai,Vizag,2.1,Surface,Non-Dox,3
Dehradun,Meerut,7.45,Air Cargo,Non-Dox,5
Bhopal,Pune,6.72,Surface,Non-Dox,5
Kolkata,Shimla,6.89,Surface,Dox,5
Shimla,Kochi,3.26,Surface,Non-Dox,3
Bangalore,Ahmedabad,4.22,Express,Non-Dox,2
Varanasi,Jamshedpur,9.53,Surface,Non-Dox,5
Coimbatore,Ahmedabad,4.43,Express,Dox,2
Mumbai,Surat,6.57,Express,Non-Dox,2
Thiruvananthapuram,Ludhiana,8.4,Surface,Dox,5
Meerut,Shimla,10.03,Surface,Non-Dox,5
Guwahati,Indore,2.45,Air Cargo,Dox,3
Coimbatore,Meerut,3.21,Surface,Non-Dox,3
Patna,Agra,9.93,Surface,Non-Dox,5
Varanasi,Lucknow,6.51,Surface,Dox,5
Shimla,Kolkata,8.73,Express,Non-Dox,2
Kochi,Chandigarh,7.43,Surface,Non-Dox,5
Coimbatore,Lucknow,4.6,Express,Non-Dox,2
Jamshedpur,Ranchi,5.72,Surface,Dox,5
Vijayawada,Kolkata,5.55,Express,Non-Dox,2
Jaipur,Srinagar,4.15,Air Cargo,Non-Dox,3
Jaipur,Dehradun,2.31,Surface,Non-Dox,3
Lucknow,Bhopal,9.78,Air Cargo,Dox,5
Pune,Thiruvananthapuram,0.72,Surface,Non-Dox,3
Guwahati,Chennai,12.24,Surface,Dox,5
Coimbatore,Bhubaneswar,1.79,Surface,Non-Dox,3
Varanasi,Chennai,7.65,Surface,Non-Dox,5
Chandigarh,Nagpur,5.59,Surface,Non-Dox,5
Kochi,Ahmedabad,9.27,Surface,Dox,5
Vizag,Meerut,4.44,Surface,Dox,3
Raipur,Agra,8.44,Surface,Non-Dox,5
Bangalore,Ranchi,3.03,Surface,Dox,3
Lucknow,Ranchi,9.03,Surface,Non-Dox,5
Ahmedabad,Aurangabad,8.69,Express,Non-Dox,2
Ludhiana,Indore,11.73,Surface,Non-Dox,5
Nagpur,Varanasi,8.77,Express,Non-Dox,2
Thiruvananthapuram,Raipur,7.81,Express,Dox,2
Amritsar,Kochi,7.62,Surface,Non-Dox,5
Agra,Amritsar,4.97,Air Cargo,Dox,3
Nashik,Thiruvananthapuram,10.66,Surface,Non-Dox,5
Chandigarh,Bhopal,7.55,Air Cargo,Dox,5
Dehradun,Patna,5.03,Air Cargo,Non-Dox,5
Bhopal,Patna,13.43,Express,Non-Dox,2
Varanasi,Raipur,7.9,Express,Dox,2
Dehradun,Shimla,9.38,Surface,Dox,5
Shimla,Ranchi,4.38,Surface,Non-Dox,3
Bhubaneswar,Dehradun,12.46,Air Cargo,Non-Dox,5
Coimbatore,Ranchi,3.32,Air Cargo,Dox,3
Hyderabad,Srinagar,3.96,Surface,Dox,3
Amritsar,Vizag,4.72,Surface,Non-Dox,3
Varanasi,Kochi,1.49,Express,Non-Dox,1
Dehradun,Ahmedabad,11.03,Surface,Non-Dox,5
Vijayawada,Chennai,5.45,Surface,Dox,5
Jaipur,Shimla,7.66,Surface,Non-Dox,5
Kolkata,Nashik,3.5,Surface,Non-Dox,3
Chennai,Bhopal,11.41,Surface,Non-Dox,5
Dehradun,Chandigarh,3.75,Surface,Dox,3
Shimla,Jaipur,6.31,Air Cargo,Dox,5
Chennai,Bhopal,1.27,Express,Dox,1
Meerut,Srinagar,11.68,Surface,Dox,5
Shimla,Bhopal,4.53,Express,Dox,2
Amritsar,Indore,4.56,Air Cargo,Dox,3
Chandigarh,Kolkata,11.74,Surface,Dox,5
Aurangabad,Ahmedabad,8.35,Air Cargo,Dox,5
Nashik,Ludhiana,7.69,Air Cargo,Non-Dox,5
Mumbai,Agra,6.46,Surface,Dox,5
Thiruvananthapuram,Bhubaneswar,9.43,Surface,Non-Dox,5
Varanasi,Meerut,3.72,Surface,Dox,3
Bangalore,Pune,7.53,Surface,Non-Dox,5
Patna,Ahmedabad,13.01,Surface,Non-Dox,5
Meerut,Ludhiana,1.68,Surface,Dox,3
Ludhiana,Dehradun,3.55,Surface,Non-Dox,3
Vizag,Kolkata,2.13,Express,Non-Dox,2
Dehradun,Aurangabad,11.68,Air Cargo,Dox,5
Agra,Aurangabad,1.96,Surface,Dox,3
Lucknow,Nagpur,11.15,Surface,Non-Dox,5
Bhubaneswar,Raipur,4.35,Express,Non-Dox,2
Surat,Thiruvananthapuram,2.95,Surface,Non-Dox,3
Chennai,Vijayawada,7.95,Surface,Non-Dox,5
Chennai,Varanasi,4.83,Air Cargo,Dox,3
