Pickup_Location,Destination,Courier_Type,Historical_Deliveries,Actual_Delivery_Days
Chennai,Bangalore,Same Day,5,5
Ahmedabad,Pune,Same Day,5,6
Mumbai,Bangalore,Same Day,4,4
Kolkata,Chennai,Express,5,4
Bangalore,Chennai,Same Day,5,5
Ahmedabad,Kolkata,Express,3,3
Ahmedabad,Hyderabad,Standard,2,2
Pune,Mumbai,Standard,3,2
Hyderabad,Mumbai,Same Day,6,5
Kolkata,Delhi,Standard,2,2
Hyderabad,Ahmedabad,Standard,3,3
Hyderabad,Hyderabad,Standard,3,2
Delhi,Chennai,Standard,7,6
Hyderabad,Kolkata,Express,3,4
Delhi,Bangalore,Express,4,5
Delhi,Pune,Standard,3,2
Chennai,Bangalore,Standard,6,6
Pune,Pune,Same Day,5,4
Kolkata,Ahmedabad,Express,2,2
Ahmedabad,Kolkata,Same Day,5,6
Mumbai,Bangalore,Standard,7,7
Pune,Mumbai,Same Day,2,1
Bangalore,Hyderabad,Same Day,7,6
Delhi,Hyderabad,Standard,4,5
Bangalore,Delhi,Standard,4,3
Pune,Kolkata,Standard,4,5
Ahmedabad,Pune,Standard,6,7
Hyderabad,Mumbai,Standard,6,5
Hyderabad,Mumbai,Same Day,2,1
Bangalore,Bangalore,Express,1,2
Pune,Mumbai,Standard,7,6
Delhi,Mumbai,Same Day,4,3
Delhi,Ahmedabad,Express,6,7
Chennai,Mumbai,Same Day,5,6
Kolkata,Ahmedabad,Express,6,7
Chennai,Delhi,Express,4,4
Hyderabad,Chennai,Express,5,5
Ahmedabad,Mumbai,Express,2,2
Kolkata,Bangalore,Standard,4,3
Bangalore,Pune,Standard,3,4
Bangalore,Delhi,Express,7,8
Pune,Ahmedabad,Same Day,1,2
Mumbai,Delhi,Same Day,5,4
Chennai,Hyderabad,Standard,7,8
Bangalore,Chennai,Standard,5,4
Bangalore,Hyderabad,Express,5,6
Ahmedabad,Chennai,Same Day,5,5
Hyderabad,Chennai,Same Day,4,4
Delhi,Bangalore,Standard,7,7
Bangalore,Mumbai,Express,4,3
Chennai,Chennai,Express,6,7
Pune,Bangalore,Same Day,2,3
Kolkata,Chennai,Same Day,7,6
Bangalore,Chennai,Standard,4,5
Chennai,Pune,Express,3,3
